,source,author,title,description,url,urlToImage,publishedAt,content,coin_tags,title_sentiment,description_sentiment,combined_sentiment
15,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Surges 5%: What Is Going On?,"Dogecoin (CRYPTO: DOGE) is up almost 5% on Thursday and bullish technical signals could extend the rally.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.1788
$26.7 billion
+4.9%
+2%
Shiba Inu (CRYPTO: SHIB)
$0.00001350
$…",https://biztoc.com/x/1e770a40788cd188,https://biztoc.com/cdn/1e770a40788cd188_s.webp,2025-05-01T15:20:27Z,Dogecoin (CRYPTO: DOGE) is up almost 5% on Thursday and bullish technical signals could extend the rally.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendDogecoin (CRYPTO: DOGE)$0.1788$26.7 bill… [+131 chars],"dogecoin, shiba inu",0.0,0.1779,0.08895
16,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Dogecoin, Shiba Inu Surge Over 25% In 7 Days: What Is Going On?","Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) have posted strong gains over the past week, rallying more than 25% as Bitcoin hovers near all-time highs, fueling momentum across the meme coin sector.
Cryptocurrency
Price 
24-Hour Trend
7-Day Trend
Dogec…",https://biztoc.com/x/1eeb4a130f6ef1ec,https://biztoc.com/cdn/1eeb4a130f6ef1ec_s.webp,2025-05-13T16:58:19Z,"Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) have posted strong gains over the past week, rallying more than 25% as Bitcoin hovers near all-time highs, fueling momentum across the meme coin s… [+125 chars]","dogecoin, shiba inu",0.0,0.6908,0.3454
17,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Teases 'Diamond Bottom' Reversal: Is A Breakout Imminent?,"After a stretch of muted price action, Dogecoin (CRYPTO: DOGE) may be gearing up for a trend reversal, cushioned by positive ecosystem developments.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.1672
$24.9 billion
-2.2%…",https://biztoc.com/x/03dbf62fcfa049c4,https://biztoc.com/cdn/03dbf62fcfa049c4_s.webp,2025-05-06T19:04:21Z,"After a stretch of muted price action, Dogecoin (CRYPTO: DOGE) may be gearing up for a trend reversal, cushioned by positive ecosystem developments.CryptocurrencyPrice Market Cap24-Hour Trend7-Day Tr… [+134 chars]",dogecoin,0.0516,0.5574,0.3045
18,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,Crypto Analyst Says Dogecoin Is Repeating History – Here’s What Happened,"The Dogecoin price has failed to revisit its all-time high of 2021 and is, in fact, trading 75% below its $0.73 ATH after a series of crashes rocked the crypto market. These crashes were spurred by US President Donald Trump declaring an all-out tariff war. In…",https://bitcoinist.com/dogecoin-is-repeating-history/,https://bitcoinist.com/wp-content/uploads/2024/03/Dogecoin_0547cf.webp,2025-04-25T12:00:30Z,"The Dogecoin price has failed to revisit its all-time high of 2021 and is, in fact, trading 75% below its $0.73 ATH after a series of crashes rocked the crypto market. These crashes were spurred by U… [+3009 chars]",dogecoin,0.0,-0.802,-0.401
19,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Surges 17% On The Week: What Is Going On?,"Dogecoin (CRYPTO: DOGE) is up 17% on the week and several analysts are eyeing a continuation of the rally.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
 $0.1830
$27.3 billion
+3.5% 
+17.3% 
Shiba Inu (CRYPTO: SHIB)
 $0.00…",https://biztoc.com/x/df3b0ecd63ce01cb,https://biztoc.com/cdn/df3b0ecd63ce01cb_s.webp,2025-04-25T15:00:10Z,Dogecoin (CRYPTO: DOGE) is up 17% on the week and several analysts are eyeing a continuation of the rally.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendDogecoin (CRYPTO: DOGE)$0.1830$27.3 bil… [+127 chars],"dogecoin, shiba inu",0.0,0.0,0.0
20,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Down 1% But This Pattern Signals A Breakout Is Imminent,"Dogecoin (CRYPTO: DOGE) is catching traders' attention again as its current price action closely resembles a major historical pattern that led to explosive gains in the past.
Cryptocurrency
Price 
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.2282
-1.2…",https://biztoc.com/x/584dfbf8af827b5d,https://biztoc.com/cdn/584dfbf8af827b5d_s.webp,2025-05-15T18:23:58Z,Dogecoin (CRYPTO: DOGE) is catching traders' attention again as its current price action closely resembles a major historical pattern that led to explosive gains in the past.CryptocurrencyPrice 24-Ho… [+136 chars],dogecoin,0.0,0.34,0.17
21,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Floki Soars 78% In A Month, Outpaces Dogecoin and Shiba Inu: What's Next?","Floki (CRYPTO: FLOKI) is continuing its explosive momentum, gaining 78% over the past month, which outpaces Dogecoin's 40% and Shiba Inu's 18% gains in the same timeframe.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Floki (CRYPTO: FLOKI)
 $0.00…",https://biztoc.com/x/4d3b762208d566d1,https://biztoc.com/cdn/4d3b762208d566d1_s.webp,2025-05-22T17:09:03Z,"Floki (CRYPTO: FLOKI) is continuing its explosive momentum, gaining 78% over the past month, which outpaces Dogecoin's 40% and Shiba Inu's 18% gains in the same timeframe.CryptocurrencyPrice Market C… [+120 chars]","dogecoin, shiba inu",0.0,0.6369,0.31845
22,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Dogecoin Surges 11% As Market Optimism, Trade Deal Boost Risk Assets","Dogecoin (CRYPTO: DOGE), the popular cryptocurrency originally created as a parody of Bitcoin in 2013, is trading higher by 11% Thursday afternoon, reaching the $0.191 level.
What To Know: Designed as a lighthearted alternative to traditional cryptocurrencies…",https://biztoc.com/x/ed6b3c8145bf1651,https://biztoc.com/cdn/ed6b3c8145bf1651_s.webp,2025-05-08T19:07:59Z,"Dogecoin (CRYPTO: DOGE), the popular cryptocurrency originally created as a parody of Bitcoin in 2013, is trading higher by 11% Thursday afternoon, reaching the $0.191 level.What To Know: Designed as… [+146 chars]",dogecoin,0.7003,0.8126,0.7564500000000001
23,"{'id': None, 'name': 'Ambcrypto.com'}",Samyukhtha L KM,Dogecoin’s price stalls even as traders bet big – Mapping DOGE’s road ahead,Futures data says DOGE is ready for a big move.,https://ambcrypto.com/dogecoins-price-stalls-even-as-traders-bet-big-mapping-doges-road-ahead/,https://ambcrypto.com/wp-content/uploads/2025/05/Samyukhtha-18-1-1000x600.webp,2025-05-14T13:00:24Z,"<ul><li>Dogecoin, Pepe, and dogwifhat saw major gains, showing a renewed interest in memecoins.</li><li>Despite price dips, bullish sentiment remains strong across most top-performing meme tokens thi… [+2219 chars]",dogecoin,0.0,0.3612,0.1806
24,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Pepe Jumps 14%, Outpaces Dogecoin, Shiba Inu As Meme Coins Roar","Pepe's (CRYPTO: PEPE) is up 45% over th past week, grabbing attention as trading volume overtook Shiba Inu (CRYPTO: SHIB) and price performance edged ahead of both SHIB and Dogecoin (CRYPTO: DOGE).
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pe…",https://biztoc.com/x/a92f53ccff3b8feb,https://biztoc.com/cdn/a92f53ccff3b8feb_s.webp,2025-05-08T16:25:50Z,"Pepe's (CRYPTO: PEPE) is up 45% over th past week, grabbing attention as trading volume overtook Shiba Inu (CRYPTO: SHIB) and price performance edged ahead of both SHIB and Dogecoin (CRYPTO: DOGE).Cr… [+123 chars]","dogecoin, shiba inu",0.0,0.0,0.0
25,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Forget Dogecoin And Shiba Inu — Crypto Analyst Sees This Coin Surging 100%,"A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB), reflecting a trend from 2024.
What Happened: The anonymous analyst known as Altcoin Sherpa shared on X that …",https://biztoc.com/x/6a921b071d3dde51,https://biztoc.com/cdn/930/og.png,2025-04-27T16:28:50Z,"A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB), reflecting a trend from 2024.What Happened: The … [+142 chars]","dogecoin, shiba inu",-0.2263,0.5719,0.17279999999999998
26,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Popcat Surges 17% In A Day — Trader Predicts Explosive Move To $1, Outpacing Dogecoin, Shiba Inu","Popcat (CRYPTO: POPCAT) has jumped 17% in a day, reigniting the meme coin mania as traders expect it to chase meme heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB).
What Happened: Crypto trader Unipcs revealed he’s up seven figures on his Pop…",https://biztoc.com/x/4415f4c3f8d81380,https://biztoc.com/cdn/4415f4c3f8d81380_s.webp,2025-05-08T19:07:45Z,"Popcat (CRYPTO: POPCAT) has jumped 17% in a day, reigniting the meme coin mania as traders expect it to chase meme heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB).What Happened: Cry… [+141 chars]","dogecoin, shiba inu",0.0,0.0,0.0
27,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Pepe Rallies 40% In 7 Days Outpaces Dogecoin, Shiba Inu: What's Next?","Pepe (CRYPTO: PEPE) has jumped over 40% in the last week, but traders are split on whether this rally has more room to run or if a correction is imminent.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
$0.00001358
$5.7 billion
…",https://biztoc.com/x/d6afa0e58dba6961,https://biztoc.com/cdn/d6afa0e58dba6961_s.webp,2025-05-15T14:42:54Z,"Pepe (CRYPTO: PEPE) has jumped over 40% in the last week, but traders are split on whether this rally has more room to run or if a correction is imminent.CryptocurrencyPrice Market Cap24-Hour Trend7-… [+137 chars]","dogecoin, shiba inu",0.0,0.0,0.0
28,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Fartcoin Leads Meme Coin Rally Ahead Of Dogecoin, Shiba Inu: Is $2 Next?","Fartcoin (CRYPTO: FARTCOIN) is leading the latest meme coin charge, surging 18% in 24 hours, as traders eye a run to $2 in the near term.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Fartcoin (CRYPTO: FARTCOIN)
 $1.53
$1.53 billion
 +17.9%
+19.1…",https://biztoc.com/x/f7a8569f746db980,https://biztoc.com/cdn/f7a8569f746db980_s.webp,2025-05-22T13:06:32Z,"Fartcoin (CRYPTO: FARTCOIN) is leading the latest meme coin charge, surging 18% in 24 hours, as traders eye a run to $2 in the near term.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendFartcoin… [+131 chars]","dogecoin, shiba inu",0.0,0.0,0.0
29,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Floki Jumps 23% In 7 Days: What's Powering The Relative Strength Against Dogecoin, Shiba Inu?","Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key partnerships as drivers.
Cryptocurrency
Price 
Market Cap
24-Ho…",https://biztoc.com/x/ebe41bb320a893b0,https://biztoc.com/cdn/ebe41bb320a893b0_s.webp,2025-04-30T15:13:37Z,"Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key par… [+138 chars]","dogecoin, shiba inu",0.4939,0.6705,0.5822
30,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Pepe Pops 30%, Leapfrogs Meme Veterans Dogecoin, Shiba Inu In Trading Volume And Momentum","Pepe (CRYPTO: PEPE) has exploded for a 30% gain, triggering a wave of liquidations and whale activity; traders are now eyeing a massive weekend ahead for the meme coin.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
$0.00001252…",https://biztoc.com/x/2f80e236fed55c41,https://biztoc.com/cdn/2f80e236fed55c41_s.webp,2025-05-09T16:22:55Z,"Pepe (CRYPTO: PEPE) has exploded for a 30% gain, triggering a wave of liquidations and whale activity; traders are now eyeing a massive weekend ahead for the meme coin.CryptocurrencyPrice Market Cap2… [+116 chars]","dogecoin, shiba inu",0.0,0.5267,0.26335
31,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Floki Rallies 16% Outperforming Dogecoin, Shiba Inu: How High Can It Go?","Floki (CRYPTO: FLOKI) has rallied 16% in the last 24 hours for a 39% gain over the past week. Growing hype around the upcoming launch of the Floki ETP is prompting traders to flip bullish.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Floki (CRYP…",https://biztoc.com/x/b95ea56a7d179d07,https://biztoc.com/cdn/b95ea56a7d179d07_s.webp,2025-04-25T12:03:36Z,Floki (CRYPTO: FLOKI) has rallied 16% in the last 24 hours for a 39% gain over the past week. Growing hype around the upcoming launch of the Floki ETP is prompting traders to flip bullish.Cryptocurre… [+139 chars],"dogecoin, shiba inu",0.0,0.6249,0.31245
32,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Dogecoin, Shiba Inu Spike But Floki And Bonk Are Stars Of Monday's Meme Rally","Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.
What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a two-month high of $0.00009044 late in the evening, representi…",https://biztoc.com/x/7e946de0cb534cdb,https://biztoc.com/cdn/930/og.png,2025-04-29T03:26:06Z,"Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a tw… [+146 chars]","dogecoin, shiba inu, memecoin",0.0,0.0,0.0
33,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Scottie Pippen Declares 'Altcoin Season' As Ethereum, XRP, Dogecoin, Shiba Inu Rally","Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narrative.
What Happened: Six-time NBA champion Scottie Pippen j…",https://biztoc.com/x/bfa63930338be30c,https://biztoc.com/cdn/bfa63930338be30c_s.webp,2025-05-12T17:13:04Z,"Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narr… [+146 chars]","dogecoin, shiba inu",0.0,0.8271,0.41355
34,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Pepe Up 3% As 'Dogecoin Millionaire' Says It May Become 'The Best Trade Of My Life',"Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
 $0.00001497
$6.3 billion
+3% 
+10% 
Dogecoin (CRYPTO: DOGE)
 $0.2374
…",https://biztoc.com/x/3d17b74b51176fc4,https://biztoc.com/cdn/3d17b74b51176fc4_s.webp,2025-05-23T15:51:41Z,Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendPepe (CRYPTO: PEPE)$0.00001497$6.3 b… [+127 chars],dogecoin,0.6369,-0.0772,0.27985
